Cm C/A;Vol Sum;Desplazamiento;KC;MaestraC;KMT;MaestraF;TC (1.025);TC=1;Mu
4,2000;10253,7334;10510,0768;2,1907;-3,2219;12,2999;-2,7237;27,0950;26,4342;214,3600
4,2200;10306,6178;10564,2832;2,2011;-3,2196;12,2618;-2,7164;27,1028;26,4417;214,5401
4,2400;10359,5171;10618,5051;2,2115;-3,2173;12,2242;-2,7089;27,1104;26,4492;214,7208
4,2600;10412,4315;10672,7423;2,2219;-3,2150;12,1870;-2,7013;27,1181;26,4567;214,9023
4,2800;10465,3609;10726,9949;2,2323;-3,2128;12,1503;-2,6935;27,1258;26,4642;215,0845
4,3000;10518,3052;10781,2628;2,2427;-3,2105;12,1139;-2,6856;27,1335;26,4717;215,2676
4,3200;10571,2645;10835,5461;2,2531;-3,2083;12,0781;-2,6775;27,1411;26,4791;215,4514
4,3400;10624,2387;10889,8447;2,2635;-3,2060;12,0426;-2,6693;27,1488;26,4866;215,6361
4,3600;10677,2278;10944,1585;2,2738;-3,2038;12,0076;-2,6609;27,1564;26,4941;215,8217
4,3800;10730,2319;10998,4877;2,2842;-3,2016;11,9730;-2,6523;27,1640;26,5015;216,0083
4,4000;10783,2508;11052,8321;2,2946;-3,1996;11,9389;-2,6435;27,1717;26,5090;216,1958
4,4200;10836,2847;11107,1919;2,3050;-3,1961;11,9052;-2,6346;27,1793;26,5164;216,3843
4,4400;10889,3336;11161,5669;2,3153;-3,1926;11,8719;-2,6255;27,1870;26,5239;216,5738
4,4600;10942,3973;11215,9573;2,3257;-3,1891;11,8391;-2,6162;27,1947;26,5314;216,7644
4,4800;10995,4761;11270,3630;2,3360;-3,1857;11,8067;-2,6067;27,2023;26,5389;216,9561
4,5000;11048,5698;11324,7840;2,3464;-3,1823;11,7748;-2,5970;27,2100;26,5464;217,1490
4,5200;11101,6785;11379,2205;2,3568;-3,1789;11,7432;-2,5871;27,2177;26,5539;217,3430
4,5400;11154,8023;11433,6724;2,3671;-3,1755;11,7122;-2,5769;27,2254;26,5614;217,5382
4,5600;11207,9411;11488,1397;2,3775;-3,1722;11,6815;-2,5666;27,2332;26,5690;217,7346
4,5800;11261,0951;11542,6225;2,3878;-3,1689;11,6513;-2,5561;27,2409;26,5765;217,9323
4,6000;11314,2642;11597,1208;2,3982;-3,1656;11,6216;-2,5453;27,2487;26,5841;218,1312
4,6200;11367,4485;11651,6347;2,4085;-3,1623;11,5922;-2,5343;27,2565;26,5917;218,3315
4,6400;11420,6481;11706,1643;2,4189;-3,1590;11,5634;-2,5231;27,2644;26,5994;218,5331
4,6600;11473,8629;11760,7095;2,4292;-3,1557;11,5349;-2,5117;27,2722;26,6070;218,7360
4,6800;11527,0931;11815,2705;2,4395;-3,1524;11,5069;-2,5000;27,2801;26,6147;218,9404
4,7000;11580,3388;11869,8472;2,4499;-3,1491;11,4793;-2,4880;27,2880;26,6225;219,1461
4,7200;11633,5999;11924,4399;2,4602;-3,1458;11,4522;-2,4759;27,2960;26,6302;219,3533
4,7400;11686,8765;11979,0485;2,4705;-3,1425;11,4254;-2,4634;27,3040;26,6380;219,5620
4,7600;11740,1688;12033,6730;2,4809;-3,1392;11,3992;-2,4508;27,3120;26,6459;219,7721
4,7800;11793,4768;12088,3137;2,4912;-3,1359;11,3733;-2,4378;27,3201;26,6537;219,9838
4,8000;11846,8006;12142,9706;2,5015;-3,1326;11,3479;-2,4246;27,3282;26,6617;220,1970
4,8200;11900,1402;12197,6437;2,5119;-3,1293;11,3229;-2,4111;27,3364;26,6696;220,4117
4,8400;11953,4957;12252,3331;2,5222;-3,1260;11,2984;-2,3974;27,3445;26,6776;220,6280
4,8600;12006,8673;12307,0390;2,5325;-3,1226;11,2742;-2,3834;27,3528;26,6856;220,8459
4,8800;12060,2550;12361,7614;2,5428;-3,1193;11,2505;-2,3691;27,3611;26,6937;221,0654
4,9000;12113,6589;12416,5004;2,5531;-3,1159;11,2272;-2,3545;27,3694;26,7019;221,2865
4,9200;12167,0791;12471,2561;2,5635;-3,1125;11,2043;-2,3396;27,3778;26,7101;221,5093
4,9400;12220,5158;12526,0287;2,5738;-3,1091;11,1819;-2,3244;27,3862;26,7183;221,7337
4,9600;12273,9690;12580,8182;2,5841;-3,1056;11,1599;-2,3090;27,3947;26,7266;221,9598
4,9800;12327,4387;12635,6247;2,5944;-3,1021;11,1382;-2,2932;27,4033;26,7349;222,1876
5,0000;12380,9253;12690,4484;2,6047;-3,0986;11,1170;-2,2771;27,4119;26,7433;222,4172
5,0200;12434,4287;12745,2894;2,6150;-3,0951;11,0962;-2,2608;27,4206;26,7518;222,6484
5,0400;12487,9490;12800,1477;2,6253;-3,0916;11,0758;-2,2441;27,4293;26,7603;222,8814
5,0600;12541,4864;12855,0236;2,6356;-3,0880;11,0558;-2,2271;27,4381;26,7688;223,1161
5,0800;12595,0411;12909,9171;2,6459;-3,0844;11,0362;-2,2097;27,4469;26,7775;223,3526
5,1000;12648,6130;12964,8283;2,6563;-3,0807;11,0169;-2,1921;27,4558;26,7862;223,5908
5,1200;12702,2024;13019,7575;2,6666;-3,0770;10,9981;-2,1741;27,4648;26,7949;223,8309
5,1400;12755,8094;13074,7047;2,6769;-3,0733;10,9797;-2,1558;27,4738;26,8037;224,0727
5,1600;12809,4342;13129,6700;2,6872;-3,0695;10,9616;-2,1372;27,4829;26,8126;224,3163
5,1800;12863,0768;13184,6537;2,6975;-3,0657;10,9439;-2,1182;27,4921;26,8216;224,5617
5,2000;12916,7373;13239,6558;2,7078;-3,0618;10,9266;-2,0989;27,5014;26,8306;224,8090
5,2200;12970,4160;13294,6764;2,7181;-3,0579;10,9096;-2,0792;27,5107;26,8397;225,0580
5,2400;13024,1130;13349,7158;2,7284;-3,0540;10,8930;-2,0592;27,5201;26,8488;225,3089
5,2600;13077,8284;13404,7741;2,7387;-3,0500;10,8768;-2,0388;27,5295;26,8581;225,5616
5,2800;13131,5624;13459,8514;2,7490;-3,0460;10,8609;-2,0181;27,5391;26,8674;225,8162
5,3000;13185,3151;13514,9479;2,7593;-3,0419;10,8454;-1,9970;27,5487;26,8768;226,0725
5,3200;13239,0866;13570,0638;2,7696;-3,0377;10,8302;-1,9756;27,5584;26,8862;226,3308
5,3400;13292,8772;13625,1991;2,7799;-3,0335;10,8154;-1,9538;27,5681;26,8957;226,5908
5,3600;13346,6869;13680,3541;2,7902;-3,0293;10,8008;-1,9316;27,5780;26,9053;226,8527
5,3800;13400,5160;13735,5289;2,8005;-3,0250;10,7866;-1,9091;27,5879;26,9150;227,1164
5,4000;13454,3645;13790,7237;2,8107;-3,0206;10,7728;-1,8862;27,5979;26,9248;227,3820
5,4200;13508,2328;13845,9386;2,8210;-3,0162;10,7592;-1,8629;27,6080;26,9346;227,6494
5,4400;13562,1208;13901,1738;2,8313;-3,0117;10,7459;-1,8393;27,6182;26,9445;227,9186
5,4600;13616,0288;13956,4296;2,8416;-3,0072;10,7330;-1,8153;27,6284;26,9545;228,1897
5,4800;13669,9570;14011,7059;2,8519;-3,0026;10,7203;-1,7909;27,6387;26,9646;228,4625
5,5000;13723,9055;14067,0032;2,8622;-2,9979;10,7079;-1,7661;27,6492;26,9748;228,7372
5,5200;13777,8745;14122,3214;2,8725;-2,9932;10,6958;-1,7410;27,6597;26,9851;229,0137
5,5400;13831,8642;14177,6608;2,8828;-2,9884;10,6840;-1,7154;27,6703;26,9954;229,2920
5,5600;13885,8747;14233,0216;2,8931;-2,9835;10,6724;-1,6895;27,6810;27,0058;229,5721
5,5800;13939,9062;14288,4039;2,9034;-2,9786;10,6611;-1,6632;27,6917;27,0163;229,8540
5,6000;13993,9589;14343,8079;2,9137;-2,9736;10,6501;-1,6365;27,7026;27,0269;230,1377
5,6200;14048,0330;14399,2339;2,9240;-2,9686;10,6393;-1,6094;27,7136;27,0376;230,4231
5,6400;14102,1287;14454,6819;2,9343;-2,9635;10,6287;-1,5819;27,7246;27,0484;230,7103
5,6600;14156,2461;14510,1522;2,9446;-2,9583;10,6183;-1,5541;27,7357;27,0593;230,9993
5,6800;14210,3854;14565,6450;2,9549;-2,9530;10,6082;-1,5258;27,7470;27,0702;231,2899
5,7000;14264,5468;14621,1605;2,9652;-2,9477;10,5983;-1,4972;27,7583;27,0813;231,5823
5,7200;14318,7305;14676,6988;2,9755;-2,9423;10,5886;-1,4681;27,7697;27,0924;231,8764
5,7400;14372,9367;14732,2602;2,9858;-2,9368;10,5790;-1,4387;27,7812;27,1036;232,1721
